experiment_id,project_name,group,run_id,status,final_status,final_stop_reason,hotspot_count,repair_slice_count,evidence_link_count,patch_count,validation_results_count,rollback_count,rollback_rows,total_ms,build_ok,test_ok,lint_ok,unsafe_before,unsafe_after,raw_ptr_before,raw_ptr_after,unsafe_api_before,unsafe_api_after,manual_mem_before,manual_mem_after,patch_size_lines,progress_score_history,baseline_no_retrieve,baseline_no_generate,patch_backend,model,llm_mode,fallback_used,replacement_block_used,normalized_diff,import_cleanup_used,failure_reason,patch_diff_preview,workspace_path
CF-01,raw_ptr_deref_fixture,baseline,2bbb85a5-0b67-4baf-8a66-6eed1da58543,SUCCESS,OK,success,0,0,0,0,3,0,0,1766,True,True,True,1,1,0,0,0,0,0,0,0,[3.0],True,True,none,,,False,False,False,False,,,C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\CF-01_baseline_1777562776401
CF-01,raw_ptr_deref_fixture,template,d8585247-22e6-4dbc-81aa-de93ea801dd7,SUCCESS,OK,success,1,1,4,1,3,0,0,1838,True,True,True,1,0,0,0,0,0,0,0,7,[0.0],False,False,template_edit,,,False,False,False,False,,"--- a/src/lib.rs
+++ b/src/lib.rs
@@ -6,3 +6,1 @@
-    let ptr = values.as_ptr();
-    // SAFETY: ptr is derived from a non-empty slice and points to its first element.
-    unsafe { Some(*ptr) }
+    values.first().copied()",C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\CF-01_template_1777562778472
CF-01,raw_ptr_deref_fixture,llm,225ccfbe-fa93-4305-a708-1b114362238f,SUCCESS,OK,success,1,1,4,1,3,0,0,8222,True,True,True,1,0,0,0,0,0,0,0,9,[0.0],False,False,openai,DeepSeek-V3.2,unified_diff,False,False,False,True,,"--- a/src/lib.rs
+++ b/src/lib.rs
@@ -5,6 +5,6 @@
 
     let ptr = values.as_ptr();
     // SAFETY: ptr is derived from a non-empty slice and points to its first element.
-    unsafe { Some(*ptr) }
+    values.first().copied()
 }",C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\CF-01_llm_1777562780650
CF-02,ptr_arithmetic_fixture,baseline,f3a1ddb3-b310-4ea7-9eaf-7523f8f794cb,SUCCESS,OK,success,0,0,0,0,3,0,0,632,True,True,True,1,1,0,0,0,0,0,0,0,[3.0],True,True,none,,,False,False,False,False,,,C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\CF-02_baseline_1777562789242
CF-02,ptr_arithmetic_fixture,template,63c6607b-b62b-4e53-9324-4d364fa14361,SUCCESS,OK,success,3,3,12,1,3,0,0,1910,True,True,True,1,0,0,0,0,0,0,0,7,[0.0],False,False,template_edit,,,False,False,False,False,,"--- a/src/lib.rs
+++ b/src/lib.rs
@@ -6,3 +6,1 @@
-    let base = values.as_ptr();
-    // SAFETY: index was checked against the slice length, so base.add(index) is in bounds.
-    unsafe { Some(*base.add(index)) }
+    values.get(index).copied()",C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\CF-02_template_1777562790213
CF-02,ptr_arithmetic_fixture,llm,61f143dc-1b4b-4607-b3ba-9faf385a359e,SUCCESS,OK,success,3,3,12,1,3,0,0,6331,True,True,True,1,0,0,0,0,0,0,0,10,[0.0],False,False,openai,DeepSeek-V3.2,unified_diff,False,False,True,False,,"--- a/src/lib.rs
+++ b/src/lib.rs
@@ -4,7 +4,5 @@
     }
 
-    let base = values.as_ptr();
-    // SAFETY: index was checked against the slice length, so base.add(index) is in bounds.
-    unsafe { Some(*base.add(index)) }
+    Some(values[index])
 }",C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\CF-02_llm_1777562792426
CF-03,ptr_copy_fixture,baseline,a61a7789-d0f6-4639-8a05-be51a98668ec,SUCCESS,OK,success,0,0,0,0,3,0,0,624,True,True,True,1,1,0,0,0,0,0,0,0,[3.0],True,True,none,,,False,False,False,False,,,C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\CF-03_baseline_1777562799060
CF-03,ptr_copy_fixture,template,c6468447-b698-41b9-8cc5-8ddc78768755,FAILED,FAILED,max_iters,2,2,8,0,0,0,0,294,False,False,False,1,1,0,0,0,0,0,0,0,"[3.0, 3.0]",False,False,template_edit,,,False,False,True,False,patch_generate_empty,,C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\CF-03_template_1777562799958
CF-03,ptr_copy_fixture,llm,14e973ed-644a-4b4e-8f14-cdcd0ff95e33,SUCCESS,OK,success,2,2,8,2,3,1,1,14223,True,True,True,1,0,0,0,0,0,0,0,13,"[3.0, 0.0]",False,False,openai,DeepSeek-V3.2,unified_diff,False,False,True,True,,"--- a/src/lib.rs
+++ b/src/lib.rs
@@ -6,7 +6,7 @@
     }
 
     // SAFETY: src and dst are valid for count bytes and come from distinct borrows.
-    unsafe {
-        ptr::copy_nonoverlapping(src.as_ptr(), dst.as_mut_ptr(), count);
-    }
+    // Use safe slice copy from the standard library instead of unsafe pointer manipulation.
+    dst[..count].copy_from_slice(&src[..count]);
     true
 }",C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\CF-03_llm_1777562800521
SW-01,c2rust_style_buffer_workspace,baseline,a743fd53-b207-44a3-8859-789d691c3902,SUCCESS,OK,success,0,0,0,0,3,0,0,693,True,True,True,2,2,0,0,0,0,0,0,0,[6.0],True,True,none,,,False,False,False,False,,,C:\Users\wenzhii\Desktop\哈基琳\C2Rust\C2Rust\results\stage9b3_final_workspaces\SW-01_baseline_1777562815054
